year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
1999,KCR,AL Central,161,64,97,0,0.398,0.467,4th of 5,32.5,856,921,1506068,26.9,26.9,50,27,J.Damon (5.4),T.Muser (64-97)
1998,KCR,AL Central,161,72,89,0,0.447,0.396,3rd of 5,16.5,714,899,1494875,28.8,28.8,51,22,J.Offerman (5.3),T.Muser (72-89)
1997,KCR,AL Central,161,67,94,0,0.416,0.457,5th of 5,19,747,820,1517638,28.8,27.6,51,25,K.Appier (5.5),B.Boone (36-46) and T.Muser (31-48)
1996,KCR,AL Central,161,75,86,0,0.466,0.476,5th of 5,24,746,786,1435997,27.1,29,40,19,K.Appier (5.9),B.Boone (75-86)
1995,KCR,AL Central,144,70,74,0,0.486,0.457,2nd of 5,30,629,691,1233530,29.1,28,51,21,K.Appier (4.6),B.Boone (70-74)
2019,DET,AL Central,161,47,114,0,0.292,0.304,5th of 5,53.5,582,915,1501430,27.6,27.8,53,32,M.Boyd (3.5),R.Gardenhire (47-114)
2018,DET,AL Central,162,64,98,0,0.395,0.395,3rd of 5,27,630,796,1856970,27.9,28.6,49,27,N.Castellanos (2.9),R.Gardenhire (64-98)
2017,DET,AL Central,162,64,98,0,0.395,0.411,5th of 5,38,735,894,2321599,29.6,28.3,49,29,J.Upton (5.3),B.Ausmus (64-98)
2016,DET,AL Central,161,86,75,0,0.534,0.518,2nd of 5,8,750,721,2493859,30,29,44,23,J.Verlander (7.2),B.Ausmus (86-75)
2015,DET,AL Central,161,74,87,0,0.46,0.43,5th of 5,20.5,689,803,2726048,28.3,28.7,47,27,I.Kinsler (5.9),B.Ausmus (74-87)
2014,DET,AL Central,162,90,72,0,0.556,0.533,1st of 5,--,757,705,2917209,29.8,28.5,48,30,I.Kinsler (5.8),B.Ausmus (90-72)
2013,DET,AL Central,162,93,69,0,0.574,0.61,1st of 5,--,796,624,3083397,30,28.4,39,20,M.Cabrera (7.3),J.Leyland (93-69)
2012,DET,AL Central,162,88,74,0,0.543,0.537,1st of 5,--,726,670,3028033,27.9,28.2,47,23,J.Verlander (8.0),J.Leyland (88-74)
2011,DET,AL Central,162,95,67,0,0.586,0.546,1st of 5,--,787,711,2642045,28.6,27.8,45,26,J.Verlander (8.6),J.Leyland (95-67)
2010,DET,AL Central,162,81,81,0,0.5,0.505,3rd of 5,13,751,743,2461237,29,26.5,41,20,M.Cabrera (6.5),J.Leyland (81-81)
2009,DET,AL Central,163,86,77,0,0.528,0.499,2nd of 5,1,743,745,2567165,29.8,26.6,45,23,J.Verlander (5.4),J.Leyland (86-77)
2008,DET,AL Central,162,74,88,0,0.457,0.48,5th of 5,14.5,821,857,3202645,30.3,29.9,46,25,P.Polanco (4.4),J.Leyland (74-88)
2007,DET,AL Central,162,88,74,0,0.543,0.549,2nd of 5,8,887,797,3047133,30.9,28.5,44,25,C.Granderson (7.6),J.Leyland (88-74)
2006,DET,AL Central,162,95,67,0,0.586,0.589,2nd of 5,1,822,675,2595937,29.3,28.8,40,19,C.Guillen (6.0),J.Leyland (95-67)
2005,DET,AL Central,162,71,91,0,0.438,0.461,4th of 5,28,723,787,2024431,28.5,28,45,23,P.Polanco (4.3),A.Trammell (71-91)
2004,DET,AL Central,162,72,90,0,0.444,0.491,4th of 5,20,827,844,1917004,28.1,27.5,39,18,C.Guillen (4.6),A.Trammell (72-90)
2003,DET,AL Central,162,43,119,0,0.265,0.305,5th of 5,47,591,928,1368245,27.3,25.3,43,20,D.Young (3.4),A.Trammell (43-119)
2002,DET,AL Central,161,55,106,0,0.342,0.322,5th of 5,39,575,864,1503623,28.1,28.1,57,30,J.Weaver (2.8),P.Garner (0-6) and L.Pujols (55-100)
2001,DET,AL Central,162,66,96,0,0.407,0.414,4th of 5,25,724,876,1921305,28.3,28.1,44,22,S.Sparks (4.4),P.Garner (66-96)
2000,DET,AL Central,162,79,83,0,0.488,0.498,3rd of 5,16,823,827,2438617,29.1,29.1,45,23,B.Higginson (5.3),P.Garner (79-83)
1999,DET,AL Central,161,69,92,0,0.429,0.425,3rd of 5,27.5,747,882,2026441,27.5,27.6,41,21,B.Ausmus (3.4),L.Parrish (69-92)
1998,DET,AL Central,162,65,97,0,0.401,0.419,5th of 5,24,722,863,1409391,27.3,26.6,45,20,D.Easley (5.6),B.Bell (52-85) and L.Parrish (13-12)
1997,DET,AL East,162,79,83,0,0.488,0.497,3rd of 5,19,784,790,1365157,26.4,27.5,43,20,J.Thompson (7.7),B.Bell (79-83)
1996,DET,AL East,162,53,109,0,0.327,0.348,5th of 5,39,783,1103,1168610,27,26.7,53,27,B.Higginson (3.6),B.Bell (53-109)
1995,DET,AL East,144,60,84,0,0.417,0.385,4th of 5,26,654,844,1180979,28.8,27.8,45,22,D.Wells (4.6),S.Anderson (60-84)
2019,LAD,NL West,162,106,56,0,0.654,0.662,1st of 5,--,886,613,3974309,27.9,28.9,46,25,C.Bellinger (9.0),D.Roberts (106-56)
2018,LAD,NL West,163,92,71,0,0.564,0.624,1st of 5,--,804,610,3857500,28.1,29.2,52,31,J.Turner (4.5),D.Roberts (92-71)
2017,LAD,NL West,162,104,58,0,0.642,0.627,1st of 5,--,770,580,3765856,27.9,29.7,52,26,J.Turner (5.8),D.Roberts (104-58)
2016,LAD,NL West,162,91,71,0,0.562,0.558,1st of 5,--,725,638,3703312,28.9,28.9,55,31,C.Kershaw (6.1),D.Roberts (91-71)
2015,LAD,NL West,162,92,70,0,0.568,0.552,1st of 5,--,667,595,3764815,29.5,28.1,55,31,Z.Greinke (9.7),D.Mattingly (92-70)
2014,LAD,NL West,162,94,68,0,0.58,0.569,1st of 5,--,718,617,3782337,29.3,29.9,49,25,C.Kershaw (8.2),D.Mattingly (94-68)
2013,LAD,NL West,162,92,70,0,0.568,0.55,1st of 5,--,649,582,3743527,30.6,28.1,49,27,C.Kershaw (8.5),D.Mattingly (92-70)
2012,LAD,NL West,162,86,76,0,0.531,0.53,2nd of 5,8,637,597,3324246,30.4,29,50,25,C.Kershaw (6.8),D.Mattingly (86-76)
2011,LAD,NL West,161,82,79,0,0.509,0.523,3rd of 5,11.5,644,612,2935139,29.8,28.6,48,21,M.Kemp (8.0),D.Mattingly (82-79)
2010,LAD,NL West,162,80,82,0,0.494,0.483,4th of 5,12,667,692,3562320,30.3,28.1,49,24,C.Kershaw (5.2),J.Torre (80-82)
2009,LAD,NL West,162,95,67,0,0.586,0.61,1st of 5,--,780,611,3761655,29.7,27.8,47,25,M.Kemp (4.9),J.Torre (95-67)
2008,LAD,NL West,162,84,78,0,0.519,0.535,1st of 5,--,700,648,3730553,28.5,29.5,46,22,C.Billingsley (4.5),J.Torre (84-78)
2007,LAD,NL West,162,82,80,0,0.506,0.505,4th of 5,8,735,727,3857036,29.7,31.1,45,22,B.Penny (6.6),G.Little (82-80)
2006,LAD,NL West,162,88,74,0,0.543,0.54,2nd of 5,--,820,751,3758545,29.9,30.4,50,22,D.Lowe (4.6),G.Little (88-74)
2005,LAD,NL West,162,71,91,0,0.438,0.456,4th of 5,11,685,755,3603646,28.7,28.5,44,20,J.Kent (3.8),J.Tracy (71-91)
2004,LAD,NL West,162,93,69,0,0.574,0.549,1st of 5,--,761,684,3488283,28.9,29.5,43,22,A.Beltre (9.6),J.Tracy (93-69)
2003,LAD,NL West,162,85,77,0,0.525,0.515,2nd of 5,15.5,574,556,3138626,29.9,31.2,44,19,K.Brown (4.5),J.Tracy (85-77)
2002,LAD,NL West,162,92,70,0,0.568,0.547,3rd of 5,6,713,643,3131255,30,31,41,19,S.Green (6.9),J.Tracy (92-70)
2001,LAD,NL West,162,86,76,0,0.531,0.509,3rd of 5,6,758,744,3017143,30.2,30.5,41,21,S.Green (7.0),J.Tracy (86-76)
2000,LAD,NL West,162,86,76,0,0.531,0.541,2nd of 5,11,798,729,2880242,29.6,29.5,46,21,K.Brown (6.7),D.Johnson (86-76)
1999,LAD,NL West,162,77,85,0,0.475,0.503,3rd of 5,23,793,787,3095346,29.2,28.6,43,21,K.Brown (5.6),D.Johnson (77-85)
1998,LAD,NL West,162,83,79,0,0.512,0.494,3rd of 5,15,669,678,3089222,28.3,27.6,53,25,G.Sheffield (3.4),B.Russell (36-38) and G.Hoffman (47-41)
1997,LAD,NL West,162,88,74,0,0.543,0.564,2nd of 4,2,742,645,3319504,29.3,28.8,44,16,M.Piazza (8.7),B.Russell (88-74)
1996,LAD,NL West,162,90,72,0,0.556,0.534,2nd of 4,1,703,652,3188454,27.9,28.2,40,15,M.Piazza (5.4),T.Lasorda (41-35) and B.Russell (49-37)
1995,LAD,NL West,144,78,66,0,0.542,0.518,1st of 4,--,634,609,2766251,27.4,27.7,49,21,M.Piazza (6.2),T.Lasorda (78-66)
2019,SFG,NL West,162,77,85,0,0.475,0.44,3rd of 5,29,678,773,2707760,29.9,28.9,64,33,J.Samardzija (2.9),B.Bochy (77-85)
2018,SFG,NL West,162,73,89,0,0.451,0.433,4th of 5,18.5,603,699,3156185,29.8,28.6,48,27,B.Posey (2.9),B.Bochy (73-89)
2017,SFG,NL West,162,64,98,0,0.395,0.412,5th of 5,40,639,776,3303652,29.5,28.9,49,22,B.Posey (3.9),B.Bochy (64-98)
2016,SFG,NL West,162,87,75,0,0.537,0.557,2nd of 5,4,715,631,3365256,29.1,30,45,25,M.Bumgarner (5.7),B.Bochy (87-75)
2015,SFG,NL West,162,84,78,0,0.519,0.548,2nd of 5,8,696,627,3375882,28.9,31.5,48,21,M.Bumgarner (6.1),B.Bochy (84-78)
2014,SFG,NL West,162,88,74,0,0.543,0.536,2nd of 5,6,665,614,3368697,28.6,31.7,46,21,B.Posey (5.4),B.Bochy (88-74)
2013,SFG,NL West,162,76,86,0,0.469,0.457,3rd of 5,16,629,691,3369106,28.7,29.6,44,21,B.Posey (5.3),B.Bochy (76-86)
2012,SFG,NL West,162,94,68,0,0.58,0.546,1st of 5,--,718,649,3377371,27.8,30,45,23,B.Posey (7.6),B.Bochy (94-68)
2011,SFG,NL West,162,86,76,0,0.531,0.494,2nd of 5,8,570,578,3387303,30.2,28.5,44,17,P.Sandoval (6.0),B.Bochy (86-76)
2010,SFG,NL West,162,92,70,0,0.568,0.581,1st of 5,--,697,583,3037443,29.6,27.9,42,19,A.Huff (5.7),B.Bochy (92-70)
2009,SFG,NL West,162,88,74,0,0.543,0.533,3rd of 5,7,657,611,2862110,29,28.7,44,21,T.Lincecum (7.4),B.Bochy (88-74)
2008,SFG,NL West,162,72,90,0,0.444,0.423,4th of 5,12,640,759,2863837,29.6,27.1,49,20,T.Lincecum (8.0),B.Bochy (72-90)
2007,SFG,NL West,162,71,91,0,0.438,0.476,5th of 5,19,683,720,3223215,32.7,27.3,44,22,M.Cain (4.3),B.Bochy (71-91)
2006,SFG,NL West,161,76,85,0,0.472,0.474,3rd of 5,11.5,746,790,3130313,33.7,28.7,44,21,B.Bonds (4.0),F.Alou (76-85)
2005,SFG,NL West,162,75,87,0,0.463,0.437,3rd of 5,7,649,745,3181023,32.2,30,50,24,N.Lowry (4.8),F.Alou (75-87)
2004,SFG,NL West,162,91,71,0,0.562,0.545,2nd of 5,2,850,770,3256854,31.6,30.1,43,22,B.Bonds (10.6),F.Alou (91-71)
2003,SFG,NL West,161,100,61,0,0.621,0.576,1st of 5,--,755,638,3264898,32.1,28.6,46,21,B.Bonds (9.2),F.Alou (100-61)
2002,SFG,NL West,162,95,66,1,0.59,0.608,2nd of 5,2.5,783,616,3253203,32.1,29.2,38,17,B.Bonds (11.8),D.Baker (95-66)
2001,SFG,NL West,162,90,72,0,0.556,0.53,2nd of 5,2,799,748,3311958,31.5,29.2,41,18,B.Bonds (11.9),D.Baker (90-72)
2000,SFG,NL West,162,97,65,0,0.599,0.597,1st of 5,--,925,747,3318800,29.9,28.5,36,17,B.Bonds (7.7),D.Baker (97-65)
1999,SFG,NL West,162,86,76,0,0.531,0.522,2nd of 5,14,872,831,2078399,30.3,28.6,35,16,B.Bonds (3.8),D.Baker (86-76)
1998,SFG,NL West,163,89,74,0,0.546,0.561,2nd of 5,9.5,845,739,1925364,30.7,31.8,41,17,B.Bonds (8.1),D.Baker (89-74)
1997,SFG,NL West,162,90,72,0,0.556,0.495,1st of 4,--,784,793,1690869,29.6,28.9,42,23,B.Bonds (8.2),D.Baker (90-72)
1996,SFG,NL West,162,68,94,0,0.42,0.438,4th of 4,23,752,862,1413922,28.9,28.4,49,20,B.Bonds (9.7),D.Baker (68-94)
1995,SFG,NL West,144,67,77,0,0.465,0.421,4th of 4,11,652,776,1241500,28.8,28.6,46,25,B.Bonds (7.5),D.Baker (67-77)
2019,COL,NL West,162,71,91,0,0.438,0.437,4th of 5,35,835,958,2993244,28.2,27.3,50,31,T.Story (6.4),B.Black (71-91)
2018,COL,NL West,163,91,72,0,0.558,0.521,2nd of 5,1,780,745,3015880,28.7,27.9,41,21,K.Freeland (8.2),B.Black (91-72)
2017,COL,NL West,162,87,75,0,0.537,0.539,3rd of 5,17,824,757,2953650,28.3,27,41,21,N.Arenado (7.1),B.Black (87-75)
2016,COL,NL West,162,75,87,0,0.463,0.492,3rd of 5,16,845,860,2602524,27.8,27.7,47,25,N.Arenado (6.6),W.Weiss (75-87)
2015,COL,NL West,162,68,94,0,0.42,0.438,5th of 5,24,737,844,2506789,28,28.7,51,30,N.Arenado (5.8),W.Weiss (68-94)
2014,COL,NL West,162,66,96,0,0.407,0.463,4th of 5,28,755,818,2680329,27.4,28.5,49,26,T.Tulowitzki (5.5),W.Weiss (66-96)
2013,COL,NL West,162,74,88,0,0.457,0.466,5th of 5,18,706,760,2793828,27.7,28.3,43,23,J.Chacin (5.9),W.Weiss (74-88)
2012,COL,NL West,162,64,98,0,0.395,0.427,5th of 5,30,758,890,2630458,28.1,28.2,49,27,R.Betancourt (2.7),J.Tracy (64-98)
2011,COL,NL West,162,73,89,0,0.451,0.476,4th of 5,21,735,774,2909777,28.6,27.7,55,29,T.Tulowitzki (6.2),J.Tracy (73-89)
2010,COL,NL West,162,83,79,0,0.512,0.533,3rd of 5,9,770,717,2875245,28.8,28.1,43,23,U.Jimenez (7.3),J.Tracy (83-79)
2009,COL,NL West,162,92,70,0,0.568,0.553,2nd of 5,3,804,715,2665080,27.8,28.5,45,25,T.Tulowitzki (6.5),C.Hurdle (18-28) and J.Tracy (74-42)
2008,COL,NL West,162,74,88,0,0.457,0.456,3rd of 5,10,747,822,2650218,27.5,28.5,49,26,M.Holliday (5.9),C.Hurdle (74-88)
2007,COL,NL West,163,90,73,0,0.552,0.558,2nd of 5,0.5,860,758,2376250,27.9,28.1,53,30,T.Tulowitzki (6.8),C.Hurdle (90-73)
2006,COL,NL West,162,76,86,0,0.469,0.501,4th of 5,12,813,812,2104362,27.8,28.8,50,24,G.Atkins (5.0),C.Hurdle (76-86)
2005,COL,NL West,162,67,95,0,0.414,0.431,5th of 5,15,740,862,1914389,27.2,27.3,54,27,T.Helton (4.6),C.Hurdle (67-95)
2004,COL,NL West,162,68,94,0,0.42,0.453,4th of 5,25,833,923,2338069,30.4,28.8,47,25,T.Helton (8.3),C.Hurdle (68-94)
2003,COL,NL West,162,74,88,0,0.457,0.48,4th of 5,26.5,853,892,2334085,29.5,28,50,23,T.Helton (6.3),C.Hurdle (74-88)
2002,COL,NL West,162,73,89,0,0.451,0.435,4th of 5,25,778,898,2737838,28.7,28.5,43,22,T.Helton (6.3),B.Bell (6-16) and C.Hurdle (67-73)
2001,COL,NL West,162,73,89,0,0.451,0.509,5th of 5,19,923,906,3166821,28.3,28.7,53,26,L.Walker (7.8),B.Bell (73-89)
2000,COL,NL West,162,82,80,0,0.506,0.535,4th of 5,15,968,897,3295129,29.2,29.9,49,25,T.Helton (8.9),B.Bell (82-80)
1999,COL,NL West,162,72,90,0,0.444,0.442,5th of 5,28,906,1028,3481065,29.7,28.9,44,18,P.Astacio (5.9),J.Leyland (72-90)
1998,COL,NL West,162,77,85,0,0.475,0.484,4th of 5,21,826,855,3792683,29.5,27.8,42,19,L.Walker (5.7),D.Baylor (77-85)
1997,COL,NL West,162,83,79,0,0.512,0.507,3rd of 4,7,923,908,3888453,30.4,27.9,43,23,L.Walker (9.8),D.Baylor (83-79)
1996,COL,NL West,162,83,79,0,0.512,0.499,3rd of 4,8,961,964,3891014,30.1,28.8,44,21,E.Burks (7.9),D.Baylor (83-79)
1995,COL,NL West,144,77,67,0,0.535,0.501,2nd of 4,1,785,783,3390037,29.5,28.6,41,20,L.Walker (4.7),D.Baylor (77-67)
2019,SDP,NL West,162,70,92,0,0.432,0.434,5th of 5,36,682,789,2396399,26.1,26.3,54,34,F.Tatis (4.2),A.Green (69-85) and R.Barajas (1-7)
2018,SDP,NL West,162,66,96,0,0.407,0.402,5th of 5,25.5,617,767,2168536,26.9,27.7,49,30,W.Myers (2.4),A.Green (66-96)
2017,SDP,NL West,162,71,91,0,0.438,0.366,4th of 5,33,604,816,2138491,26.2,27.7,52,32,J.Chacin (3.0),A.Green (71-91)
2016,SDP,NL West,162,68,94,0,0.42,0.447,5th of 5,23,686,770,2351422,28.1,28.1,58,32,W.Myers (3.5),A.Green (68-94)
2015,SDP,NL West,162,74,88,0,0.457,0.446,4th of 5,18,650,731,2459752,27.6,29.1,46,26,J.Upton (4.3),"B.Black (32-33), D.Roberts (0-1) and P.Murphy (42-54)"
2014,SDP,NL West,162,77,85,0,0.475,0.465,3rd of 5,17,535,577,2195373,27.9,28.8,51,24,S.Smith (3.4),B.Black (77-85)
2013,SDP,NL West,162,76,86,0,0.469,0.443,3rd of 5,16,618,700,2166691,28.1,28.8,47,23,C.Denorfia (4.1),B.Black (76-86)
2012,SDP,NL West,162,76,86,0,0.469,0.46,4th of 5,18,651,710,2123721,27.4,28,53,30,C.Headley (6.4),B.Black (76-86)
2011,SDP,NL West,162,71,91,0,0.438,0.486,5th of 5,23,593,611,2143018,28,28.1,48,22,C.Maybin (4.4),B.Black (71-91)
2010,SDP,NL West,162,90,72,0,0.556,0.561,2nd of 5,2,665,581,2131774,29.1,27.2,40,19,A.Gonzalez (4.4),B.Black (90-72)
2009,SDP,NL West,162,75,87,0,0.463,0.415,4th of 5,20,638,769,1919603,28,26.8,56,33,A.Gonzalez (6.9),B.Black (75-87)
2008,SDP,NL West,162,63,99,0,0.389,0.418,5th of 5,21,637,764,2427535,28.9,30.2,59,32,B.Giles (4.8),B.Black (63-99)
2007,SDP,NL West,163,89,74,0,0.546,0.549,3rd of 5,1.5,741,666,2790074,29.9,31.5,49,21,J.Peavy (6.8),B.Black (89-74)
2006,SDP,NL West,162,88,74,0,0.543,0.534,1st of 5,--,731,679,2659757,30.7,30.6,46,22,M.Cameron (4.4),B.Bochy (88-74)
2005,SDP,NL West,162,82,80,0,0.506,0.473,1st of 5,--,684,726,2869787,31.1,31,46,23,B.Giles (4.9),B.Bochy (82-80)
2004,SDP,NL West,162,87,75,0,0.537,0.539,3rd of 5,6,768,705,3016752,29.6,30,47,24,M.Loretta (6.0),B.Bochy (87-75)
2003,SDP,NL West,162,64,98,0,0.395,0.408,5th of 5,36.5,678,831,2030084,28.5,27.8,51,27,M.Loretta (4.9),B.Bochy (64-98)
2002,SDP,NL West,162,66,96,0,0.407,0.406,5th of 5,32,662,815,2220601,29.1,27.8,59,37,R.Klesko (4.2),B.Bochy (66-96)
2001,SDP,NL West,162,79,83,0,0.488,0.487,4th of 5,13,789,812,2378128,28.9,28.7,48,25,P.Nevin (5.8),B.Bochy (79-83)
2000,SDP,NL West,162,76,86,0,0.469,0.463,5th of 5,21,752,815,2352443,28.6,27.5,56,29,P.Nevin (4.1),B.Bochy (76-86)
1999,SDP,NL West,162,74,88,0,0.457,0.457,4th of 5,26,710,781,2523538,29.7,28.8,41,20,R.Sanders (4.1),B.Bochy (74-88)
1998,SDP,NL West,162,98,64,0,0.605,0.575,1st of 5,--,749,635,2555874,31.1,29.8,42,21,K.Brown (9.1),B.Bochy (98-64)
1997,SDP,NL West,162,76,86,0,0.469,0.448,4th of 4,14,795,891,2089333,30.8,28.1,45,21,T.Gwynn (4.3),B.Bochy (76-86)
1996,SDP,NL West,162,91,71,0,0.562,0.556,1st of 4,--,771,682,2187886,30.9,28.7,43,19,K.Caminiti (7.6),B.Bochy (91-71)
1995,SDP,NL West,144,70,74,0,0.486,0.497,3rd of 4,8,668,672,1041805,28.8,26.6,40,20,A.Ashby (5.1),B.Bochy (70-74)
2019,ARI,NL West,162,85,77,0,0.525,0.541,2nd of 5,21,813,743,2135510,28.7,28.6,45,27,K.Marte (6.9),T.Lovullo (85-77)
2018,ARI,NL West,162,82,80,0,0.506,0.533,3rd of 5,9.5,693,644,2242695,29.2,29.6,49,30,P.Goldschmidt (5.4),T.Lovullo (82-80)
2017,ARI,NL West,162,93,69,0,0.574,0.594,2nd of 5,11,812,659,2134375,28.3,28.7,45,23,Z.Greinke (6.0),T.Lovullo (93-69)
2016,ARI,NL West,162,69,93,0,0.426,0.424,4th of 5,22,752,890,2036216,26.7,26.4,50,29,J.Segura (5.5),C.Hale (69-93)
2015,ARI,NL West,162,79,83,0,0.488,0.504,3rd of 5,13,720,713,2080145,26.6,27.1,50,27,P.Goldschmidt (8.7),C.Hale (79-83)
2014,ARI,NL West,162,64,98,0,0.395,0.415,5th of 5,30,615,742,2073730,27.6,28,52,25,P.Goldschmidt (4.6),K.Gibson (63-96) and A.Trammell (1-2)
2013,ARI,NL West,162,81,81,0,0.5,0.493,2nd of 5,11,685,695,2134895,28.1,27.6,44,23,P.Goldschmidt (7.1),K.Gibson (81-81)
2012,ARI,NL West,162,81,81,0,0.5,0.53,3rd of 5,13,734,688,2177617,28.3,27.4,48,23,A.Hill (5.1),K.Gibson (81-81)
2011,ARI,NL West,162,94,68,0,0.58,0.545,1st of 5,--,731,662,2105432,28.2,27.4,51,25,J.Upton (5.5),K.Gibson (94-68)
2010,ARI,NL West,162,65,97,0,0.401,0.428,5th of 5,27,713,836,2056697,26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49)
2009,ARI,NL West,162,70,92,0,0.432,0.462,5th of 5,25,720,782,2128765,26.5,27.7,45,24,D.Haren (7.0),B.Melvin (12-17) and A.Hinch (58-75)
2008,ARI,NL West,162,82,80,0,0.506,0.509,2nd of 5,2,720,706,2509924,26.7,29.4,41,20,D.Haren (6.5),B.Melvin (82-80)
2007,ARI,NL West,162,90,72,0,0.556,0.487,1st of 5,--,712,732,2325249,26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72)
2006,ARI,NL West,162,76,86,0,0.469,0.491,4th of 5,12,773,788,2091685,29.7,28.8,45,25,B.Webb (7.0),B.Melvin (76-86)
2005,ARI,NL West,162,77,85,0,0.475,0.406,2nd of 5,5,696,856,2059424,30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85)
2004,ARI,NL West,162,51,111,0,0.315,0.333,5th of 5,42,615,899,2519560,28.9,29.3,52,25,R.Johnson (8.2),B.Brenly (29-50) and A.Pedrique (22-61)
2003,ARI,NL West,162,84,78,0,0.519,0.521,3rd of 5,16.5,717,685,2805542,30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78)
2002,ARI,NL West,162,98,64,0,0.605,0.588,1st of 5,--,819,674,3198977,31.7,31.7,42,20,R.Johnson (10.5),B.Brenly (98-64)
2001,ARI,NL West,162,92,70,0,0.568,0.586,1st of 5,--,818,677,2736451,31.9,30.9,47,22,R.Johnson (9.5),B.Brenly (92-70)
2000,ARI,NL West,162,85,77,0,0.525,0.522,3rd of 5,12,792,754,2942251,30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77)
1999,ARI,NL West,162,100,62,0,0.617,0.632,1st of 5,--,908,676,3019654,30,30.6,43,20,R.Johnson (8.6),B.Showalter (100-62)
1998,ARI,NL West,162,65,97,0,0.401,0.41,5th of 5,33,665,812,3610290,27.8,27.4,46,25,O.Daal (4.1),B.Showalter (65-97)
2019,ATL,NL East,162,97,65,0,0.599,0.564,1st of 5,--,855,743,2655100,28,27.5,50,31,J.Donaldson (6.1),B.Snitker (97-65)
2018,ATL,NL East,162,90,72,0,0.556,0.566,1st of 5,--,759,657,2555781,27.4,27.7,58,35,F.Freeman (6.1),B.Snitker (90-72)
2017,ATL,NL East,162,72,90,0,0.444,0.448,3rd of 5,25,732,821,2505252,28.6,29.4,49,26,F.Freeman (4.4),B.Snitker (72-90)
2016,ATL,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,649,779,2020914,28.9,26.4,60,35,F.Freeman (6.5),F.Gonzalez (9-28) and B.Snitker (59-65)
2015,ATL,NL East,162,67,95,0,0.414,0.374,4th of 5,23,573,760,2001392,28.8,26.6,60,37,A.Simmons (3.9),F.Gonzalez (67-95)
2014,ATL,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,573,597,2354305,26.8,27.3,39,20,J.Heyward (5.8),F.Gonzalez (79-83)
2013,ATL,NL East,162,96,66,0,0.593,0.603,1st of 5,--,688,548,2548679,26.8,27.2,44,21,A.Simmons (7.0),F.Gonzalez (96-66)
2012,ATL,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,700,600,2420171,28.5,27.6,41,21,M.Bourn (6.0),F.Gonzalez (94-68)
2011,ATL,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,641,605,2372940,28.9,28.4,45,21,E.O'Flaherty (3.3),F.Gonzalez (89-73)
2010,ATL,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,738,629,2510119,28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71)
2009,ATL,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,735,641,2373631,28.8,28.9,45,21,J.Jurrjens (6.7),B.Cox (86-76)
2008,ATL,NL East,162,72,90,0,0.444,0.485,4th of 5,20,753,778,2532834,27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90)
2007,ATL,NL East,162,84,78,0,0.519,0.546,3rd of 5,5,810,733,2745207,27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78)
2006,ATL,NL East,162,79,83,0,0.488,0.524,3rd of 5,18,849,805,2550524,27.5,29.4,45,26,J.Smoltz (5.8),B.Cox (79-83)
2005,ATL,NL East,162,90,72,0,0.556,0.56,1st of 5,--,769,674,2521167,28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72)
2004,ATL,NL East,162,96,66,0,0.593,0.583,1st of 5,--,803,668,2327565,28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66)
2003,ATL,NL East,162,101,61,0,0.623,0.592,1st of 5,--,907,740,2401084,30.3,31.1,34,17,M.Giles (7.9),B.Cox (101-61)
2002,ATL,NL East,161,101,59,1,0.631,0.602,1st of 5,--,708,565,2603484,30.6,31.1,38,20,A.Jones (6.6),B.Cox (101-59)
2001,ATL,NL East,162,88,74,0,0.543,0.557,1st of 5,--,729,643,2823530,30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74)
2000,ATL,NL East,162,95,67,0,0.586,0.557,1st of 5,--,810,714,3234304,30.8,31.4,47,22,A.Jones (8.2),B.Cox (95-67)
1999,ATL,NL East,162,103,59,0,0.636,0.608,1st of 5,--,840,661,3284897,29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59)
1998,ATL,NL East,162,106,56,0,0.654,0.656,1st of 5,--,826,581,3360860,28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56)
1997,ATL,NL East,162,101,61,0,0.623,0.638,1st of 5,--,791,581,3464488,27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61)
