year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
2013,SEA,AL West,162,71,91,0,0.438,0.414,4th of 5,25,624,754,1761546,28.6,28,47,22,H.Iwakuma (7.2),E.Wedge (71-91)
2012,SEA,AL West,162,75,87,0,0.463,0.477,4th of 4,19,619,651,1721920,27,27.9,38,18,F.Hernandez (5.3),E.Wedge (75-87)
2011,SEA,AL West,162,67,95,0,0.414,0.412,4th of 4,29,556,675,1896321,29.3,26.8,47,21,B.Ryan (4.2),E.Wedge (67-95)
2010,SEA,AL West,162,61,101,0,0.377,0.363,4th of 4,29,513,698,2085630,29.6,27.1,47,22,F.Hernandez (7.1),D.Wakamatsu (42-70) and D.Brown (19-31)
2009,SEA,AL West,162,85,77,0,0.525,0.464,3rd of 4,12,640,692,2195533,29.9,27.4,46,20,F.Gutierrez (6.6),D.Wakamatsu (85-77)
2008,SEA,AL West,162,61,101,0,0.377,0.414,4th of 4,39,671,811,2329702,29.7,28.5,44,22,A.Beltre (5.6),J.McLaren (25-47) and J.Riggleman (36-54)
2007,SEA,AL West,162,88,74,0,0.543,0.489,2nd of 4,6,794,813,2672223,29.9,28.1,44,23,I.Suzuki (5.8),M.Hargrove (45-33) and J.McLaren (43-41)
2006,SEA,AL West,162,78,84,0,0.481,0.479,4th of 4,15,756,792,2481165,28.7,28,49,25,A.Beltre (5.4),M.Hargrove (78-84)
2005,SEA,AL West,162,69,93,0,0.426,0.467,4th of 4,26,699,751,2725459,28.7,31.4,48,21,I.Suzuki (3.9),M.Hargrove (69-93)
2004,SEA,AL West,162,63,99,0,0.389,0.425,4th of 4,29,698,823,2940731,31.6,30.4,48,23,I.Suzuki (9.2),B.Melvin (63-99)
2003,SEA,AL West,162,93,69,0,0.574,0.6,2nd of 4,3,795,637,3268509,32,29.8,37,18,B.Boone (5.9),B.Melvin (93-69)
2002,SEA,AL West,162,93,69,0,0.574,0.569,3rd of 4,10,814,699,3542938,31.2,30.2,40,19,J.Moyer (5.6),L.Piniella (93-69)
2001,SEA,AL West,162,116,46,0,0.716,0.672,1st of 4,--,927,627,3507326,31.4,30.8,35,15,B.Boone (8.8),L.Piniella (116-46)
2000,SEA,AL West,162,91,71,0,0.562,0.569,2nd of 4,0.5,907,780,2914624,31.4,29.3,37,16,A.Rodriguez (10.4),L.Piniella (91-71)
1999,SEA,AL West,162,79,83,0,0.488,0.476,3rd of 4,16,859,905,2916346,29.3,28.2,51,28,J.Moyer (6.6),L.Piniella (79-83)
1998,SEA,AL West,161,76,85,0,0.472,0.502,3rd of 4,11.5,859,855,2651511,29.8,31.3,47,20,A.Rodriguez (8.5),L.Piniella (76-85)
1997,SEA,AL West,162,90,72,0,0.556,0.548,1st of 4,--,925,833,3192237,29.3,30.4,47,24,K.Griffey (9.1),L.Piniella (90-72)
1996,SEA,AL West,161,85,76,0,0.528,0.547,2nd of 4,4.5,993,895,2723850,28.7,27.8,49,25,K.Griffey (9.7),L.Piniella (85-76)
1995,SEA,AL West,145,79,66,0,0.545,0.553,1st of 4,--,796,708,1643203,28.8,28.8,46,24,R.Johnson (8.6),L.Piniella (79-66)
2019,OAK,AL West,162,97,65,0,0.599,0.598,2nd of 5,10,845,680,1662211,27.8,30.8,49,28,M.Semien (8.1),B.Melvin (97-65)
2018,OAK,AL West,162,97,65,0,0.599,0.585,2nd of 5,6,813,674,1573616,28,29.2,53,34,M.Chapman (8.2),B.Melvin (97-65)
2017,OAK,AL West,162,75,87,0,0.463,0.449,5th of 5,26,739,826,1475721,28.7,27.9,54,28,J.Lowrie (4.0),B.Melvin (75-87)
2016,OAK,AL West,162,69,93,0,0.426,0.43,5th of 5,26,653,761,1521506,28.7,27.9,51,27,K.Graveman (3.4),B.Melvin (69-93)
2015,OAK,AL West,162,68,94,0,0.42,0.478,5th of 5,20,694,729,1768175,27.9,27.8,52,30,S.Gray (5.3),B.Melvin (68-94)
2014,OAK,AL West,162,88,74,0,0.543,0.609,2nd of 5,10,729,572,2003628,29.6,28.2,45,23,J.Donaldson (7.5),B.Melvin (88-74)
2013,OAK,AL West,162,96,66,0,0.593,0.593,1st of 5,--,767,625,1809302,28.3,28.3,44,19,J.Donaldson (7.7),B.Melvin (96-66)
2012,OAK,AL West,162,94,68,0,0.58,0.568,1st of 4,--,713,614,1679013,27.7,27.9,50,25,J.Reddick (4.6),B.Melvin (94-68)
2011,OAK,AL West,162,74,88,0,0.457,0.477,3rd of 4,22,645,679,1476791,29.1,27.4,48,26,G.Gonzalez (4.4),B.Geren (27-36) and B.Melvin (47-52)
2010,OAK,AL West,162,81,81,0,0.5,0.526,2nd of 4,9,663,626,1418391,27.8,26,49,23,D.Barton (5.5),B.Geren (81-81)
2009,OAK,AL West,162,75,87,0,0.463,0.499,4th of 4,22,759,761,1408783,29.1,25.7,51,26,A.Bailey (3.7),B.Geren (75-87)
2008,OAK,AL West,161,75,86,0,0.466,0.47,3rd of 4,24.5,646,690,1665256,27.2,26.5,51,24,M.Ellis (4.0),B.Geren (75-86)
2007,OAK,AL West,162,76,86,0,0.469,0.49,3rd of 4,18,741,758,1921844,28.9,26.9,54,24,M.Ellis (4.8),B.Geren (76-86)
2006,OAK,AL West,162,93,69,0,0.574,0.527,1st of 4,--,771,727,1976625,29.7,27,40,21,B.Zito (4.4),K.Macha (93-69)
2005,OAK,AL West,162,88,74,0,0.543,0.573,2nd of 4,7,772,658,2109118,28.6,26.6,41,20,E.Chavez (4.8),K.Macha (88-74)
2004,OAK,AL West,162,91,71,0,0.562,0.53,2nd of 4,1,793,742,2201516,29.6,28.4,36,18,E.Chavez (5.5),K.Macha (91-71)
2003,OAK,AL West,162,96,66,0,0.593,0.581,1st of 4,--,768,643,2216596,28.3,27.4,41,18,T.Hudson (7.5),K.Macha (96-66)
2002,OAK,AL West,162,103,59,0,0.636,0.591,1st of 4,--,800,654,2169811,28.6,27.4,41,17,B.Zito (7.1),A.Howe (103-59)
2001,OAK,AL West,162,102,60,0,0.63,0.64,2nd of 4,14,884,645,2133277,27.3,28,42,16,J.Giambi (9.2),A.Howe (102-60)
2000,OAK,AL West,161,91,70,0,0.565,0.569,1st of 4,--,947,813,1603744,27.3,29.5,44,21,J.Giambi (7.8),A.Howe (91-70)
1999,OAK,AL West,162,87,75,0,0.537,0.525,2nd of 4,8,893,846,1434610,28.7,31.4,42,23,J.Giambi (5.9),A.Howe (87-75)
1998,OAK,AL West,162,74,88,0,0.457,0.466,4th of 4,14,804,866,1232343,28.8,31,45,19,K.Rogers (7.5),A.Howe (74-88)
1997,OAK,AL West,162,65,97,0,0.401,0.403,4th of 4,25,764,946,1264218,28.1,27.8,49,26,M.McGwire (3.1),A.Howe (65-97)
1996,OAK,AL West,162,78,84,0,0.481,0.48,3rd of 4,12,861,900,1148380,28.2,27.1,43,20,M.McGwire (6.4),A.Howe (78-84)
1995,OAK,AL West,144,67,77,0,0.465,0.481,4th of 4,11.5,730,761,1174310,29.5,30.9,44,23,M.McGwire (5.5),T.La Russa (67-77)
2019,LAA,AL West,162,72,90,0,0.444,0.445,4th of 5,35,769,868,3019012,28.8,27,57,31,M.Trout (8.3),B.Ausmus (72-90)
2018,LAA,AL West,162,80,82,0,0.494,0.499,4th of 5,23,721,722,3020216,29.5,27.5,60,35,M.Trout (10.2),M.Scioscia (80-82)
