year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2018,HOU,1,1,36797,3rd of 15,172781200.0,97,99,Minute Maid Park
2019,HOU,1,1,35276,4th of 15,166042500.0,100,103,Minute Maid Park
1995,KCR,2,0,17132,10th of 14,29532834.0,101,101,Kauffman Stadium
1996,KCR,5,0,17950,10th of 14,20281250.0,99,99,Kauffman Stadium
1997,KCR,5,0,18970,10th of 14,34810000.0,102,101,Kauffman Stadium
1998,KCR,3,0,18686,10th of 14,38097500.0,102,101,Kauffman Stadium
1999,KCR,4,0,18826,11th of 14,26660000.0,102,101,Kauffman Stadium
2000,KCR,4,0,19319,12th of 14,24903000.0,103,103,Kauffman Stadium
2001,KCR,5,0,18968,13th of 14,35422500.0,107,106,Kauffman Stadium
2002,KCR,4,0,16334,13th of 14,47257000.0,111,110,Kauffman Stadium
2003,KCR,3,0,22249,10th of 14,40518000.0,108,107,Kauffman Stadium
2004,KCR,5,0,20768,13th of 14,47609000.0,103,101,Kauffman Stadium
2005,KCR,5,0,16928,13th of 14,36881000.0,101,99,Kauffman Stadium
2006,KCR,5,0,16946,13th of 14,47694000.0,103,101,Kauffman Stadium
2007,KCR,5,0,19961,13th of 14,67691500.0,101,100,Kauffman Stadium
2008,KCR,4,0,19493,14th of 14,59445500.0,99,98,Kauffman Stadium
2009,KCR,4,0,22196,12th of 14,76817333.0,99,97,Kauffman Stadium
2010,KCR,5,0,19942,11th of 14,73105210.0,101,99,Kauffman Stadium
2011,KCR,4,0,21290,12th of 14,35712000.0,100,99,Kauffman Stadium
2012,KCR,3,0,21480,10th of 14,61747075.0,102,102,Kauffman Stadium
2013,KCR,3,0,21614,12th of 15,87426250.0,103,103,Kauffman Stadium
2014,KCR,2,1,24154,11th of 15,89804075.0,103,104,Kauffman Stadium
2015,KCR,1,2,33439,6th of 15,121590475.0,104,104,Kauffman Stadium
2016,KCR,3,0,31577,6th of 15,125132675.0,102,102,Kauffman Stadium
2017,KCR,3,0,27412,8th of 15,127555817.0,102,101,Kauffman Stadium
2018,KCR,5,0,20557,11th of 15,95199167.0,101,100,Kauffman Stadium
2019,KCR,4,0,18267,13th of 15,98183242.0,102,101,Kauffman Stadium
1995,LAA,2,0,24287,6th of 14,31223171.0,99,99,Anaheim Stadium
1996,LAA,4,0,22476,8th of 14,28847000.0,98,98,Anaheim Stadium
1997,LAA,2,0,21553,9th of 14,31135472.0,102,102,Anaheim Stadium
1998,LAA,2,0,31102,6th of 14,41791000.0,102,102,Edison Field
1999,LAA,4,0,27816,7th of 14,55633166.0,99,99,Edison Field
2000,LAA,3,0,25518,8th of 14,52664167.0,102,102,Edison Field
2001,LAA,3,0,24703,8th of 14,47735167.0,100,101,Edison Field
2002,LAA,2,2,28464,7th of 14,61721667.0,99,100,Edison Field
2003,LAA,3,0,37330,3rd of 14,79031667.0,97,98,Edison Field
2004,LAA,1,1,41675,2nd of 14,100534667.0,96,97,Angel Stadium of Anaheim
2005,LAA,1,1,42033,2nd of 14,94867822.0,97,98,Angel Stadium of Anaheim
